4.50244, 44.55781, Credit Agricole, Villeneuve de Berg, 15 place de l'Esplanade
3.57736, 50.43252, Groupe BNP-Paribas, Fresnes sur Escaut
6.23310, 44.09130, La Banque Postale, Digne les Bains, rue A. Honnorat
2.23017, 48.81790, La Banque Postale, Meudon, 38 d'181
2.18801, 48.69773, Groupe La Banque Postale, Orsay, 24 rue de Paris
2.18801, 48.69773, Groupe Banque Populaire, Orsay, rue de Verrier
2.51847, 48.90931, Groupe CIC-Credit Mutuel, Les Pavillons sous Bois
6.81628, 47.50218, Groupe CIC-Credit Mutuel, Montbel, Pied des Gouttes
2.29953, 48.84174, Groupe BNP-Paribas, Paris, Vaugirard
3.06495, 50.37667, Groupe BNP-Paribas, Douai, Pont d'Esquerchin
7.32314, 48.19358, Credit Agricole, Ribeauville
4.13686, 48.05733, Groupe Banque Populaire, Chaource
5.27799, 45.59069, Credit Agricole, Bourgoin Jallieu, 40 bis rue de la Liberation
7.59987, 48.75583, Groupe CIC-Credit Mutuel, La Vallee
7.47870, 48.87700, Credit Agricole, Ingwiller, 65 faubourg du General Philippe
-0.07876, 47.25944, Groupe CIC-Credit Mutuel, Saumur
5.35709, 45.96302, Groupe CIC-Credit Mutuel, Amberieu en Bugey
6.48310, 47.92560, Credit Agricole, Le Val d'Ajol, 5 place de l'Eglise
-4.31328, 48.53605, Credit Agricole, Ploudaniel
-0.35939, 43.31888, Groupe CIC-Credit Mutuel, Pau, Universite
2.44398, 48.86547, Banque Societe Generale, Montreuil sous Bois
-0.43500, 43.33270, La Banque Postale, Lescar, 13 rue du Parvis
1.30305, 45.12980, Credit Agricole, Terrasson
1.16108, 49.00976, Credit Agricole, Evreux, rue Frederique et Irene Joliot Curie
7.37306, 48.91978, Groupe CIC-Credit Mutuel, Wingen sur Moder
-1.57502, 47.21441, Groupe CIC-Credit Mutuel, Nantes, Canclaux
3.12700, 42.47630, La Banque Postale, Banyuls sur Mer, avenue du General de Gaulle
2.17244, 48.80378, Credit Agricole, Viroflay
4.33363, 47.49058, Groupe Banque Populaire, Semur en Auxois
-1.42716, 43.64986, Groupe BNP-Paribas, Capbreton
-1.94508, 46.71966, Credit Agricole, Saint Hilaire de Riez
2.45853, 48.70512, Groupe Banque Populaire, Montgeron
-0.39138, 49.17387, Groupe BNP-Paribas, Caen, Venoix
3.42327, 46.12137, Credit Agricole, Vichy, 6-8 place d'Allier
2.38207, 48.79895, Groupe CIC-Credit Mutuel, Vitry, Stalingrad
2.25738, 48.92364, Credit Agricole, Colombes
2.37348, 48.80859, Groupe BNP-Paribas, Ivry, avenue de Verdun
2.30049, 48.88158, Banque Societe Generale, Paris
6.63933, 46.02577, Groupe CIC-Credit Mutuel, Les Carroz d'Araches
1.88390, 49.26514, Groupe CIC-Credit Mutuel, Chaumont en Vexin
2.63367, 48.51537, Groupe BNP-Paribas, Dammarie les Lys
2.30173, 48.88076, Groupe Banque Populaire, Paris
-4.48963, 48.24493, Credit Agricole, Crozon
1.82969, 48.64338, Groupe CIC-Credit Mutuel, Rambouillet
2.33693, 48.87165, Groupe BNP-Paribas, Paris, 20 boulevard des Italiens
4.74913, 44.55559, Groupe HSBC-Banque Marze, Montelimar
-1.17072, 44.66094, Credit Agricole, Arcachon, place Lucien de Garcia
4.09840, 49.99080, La Banque Postale, Anor, 9 rue Clemenceau
-3.62985, 47.81321, Credit Agricole, Moelan sur Mer
-4.09911, 48.00245, Credit Agricole, Quimper, 12 avenue de la France Libre
7.27501, 43.72539, Groupe BNP-Paribas, Nice Commandant Gerome
4.62238, 44.16429, Groupe CIC-Credit Mutuel, Bagnols sur Ceze
5.88266, 45.23400, Groupe BNP-Paribas, Lancey
-0.78400, 44.84290, La Banque Postale, Martignas sur Jalle, 1 avenue de Verdun
2.25727, 48.92374, Banque Societe Generale, Colombes, gare
3.24753, 50.67933, Groupe CIC-Credit Mutuel, Leers
